TimeMillis,Svid,Cn0DbHz,ConstellationType,ElevationDegrees,AzimuthDegrees,UsedInFix
1755507817540,10,30.5,1,66.0,16.0,true
1755507817540,18,30.1,1,23.0,158.0,true
1755507817540,23,41.2,1,52.0,122.0,true
1755507817540,28,24.7,1,32.0,336.0,true
1755507817540,29,30.1,1,13.0,106.0,true
1755507817540,13,37.3,3,75.0,270.0,false
1755507817540,12,27.8,3,42.0,12.0,true
1755507817540,1,24.6,3,27.0,45.0,false
1755507817540,8,31.0,3,16.0,102.0,false
1755507817540,194,26.3,4,39.0,77.0,false
1755507817540,195,33.4,4,44.0,147.0,true
1755507817540,128,37.8,2,0.0,0.0,false
1755507817540,129,40.5,2,0.0,0.0,false
1755507817540,21,28.5,6,37.0,52.0,true
1755507817540,23,32.9,6,73.0,146.0,true
1755507817540,26,33.4,6,19.0,156.0,true
1755507818490,10,31.2,1,66.0,16.0,true
1755507818490,18,30.3,1,23.0,158.0,true
1755507818490,23,41.9,1,52.0,122.0,true
1755507818490,28,24.6,1,32.0,336.0,true
1755507818490,29,30.9,1,13.0,106.0,true
1755507818490,31,21.7,1,37.0,298.0,true
1755507818490,14,21.0,3,21.0,210.0,false
1755507818490,13,36.5,3,75.0,270.0,false
1755507818490,12,24.2,3,42.0,12.0,true
1755507818490,1,22.9,3,27.0,45.0,false
1755507818490,24,23.8,3,25.0,220.0,true
1755507818490,8,28.4,3,16.0,102.0,false
1755507818490,9,24.2,5,46.0,323.0,true
1755507818490,7,22.2,5,46.0,164.0,true
1755507818490,4,28.3,5,28.0,85.0,false
1755507818490,194,29.1,4,39.0,77.0,false
1755507818490,195,30.3,4,44.0,147.0,true
1755507818490,128,37.1,2,0.0,0.0,false
1755507818490,129,41.3,2,0.0,0.0,false
1755507818490,10,24.3,6,15.0,299.0,true
1755507818490,21,29.1,6,37.0,52.0,true
1755507818490,23,31.8,6,73.0,146.0,true
1755507818490,26,32.1,6,19.0,156.0,true
1755507818490,33,21.4,6,52.0,206.0,false
1755507819485,10,30.2,1,66.0,16.0,true
1755507819485,18,32.7,1,23.0,158.0,true
1755507819485,23,41.2,1,52.0,122.0,true
1755507819485,28,24.6,1,32.0,336.0,true
1755507819485,29,31.3,1,13.0,106.0,true
1755507819485,31,21.7,1,37.0,298.0,true
1755507819485,14,21.0,3,21.0,210.0,false
1755507819485,13,35.2,3,75.0,270.0,false
1755507819485,12,25.4,3,42.0,12.0,true
1755507819485,1,22.9,3,27.0,45.0,false
1755507819485,24,23.8,3,25.0,220.0,true
1755507819485,8,28.9,3,16.0,102.0,false
1755507819485,9,24.2,5,46.0,323.0,true
1755507819485,7,22.2,5,46.0,164.0,true
1755507819485,4,28.3,5,28.0,85.0,true
1755507819485,194,28.5,4,39.0,77.0,false
1755507819485,195,33.0,4,44.0,147.0,true
1755507819485,128,35.3,2,0.0,0.0,false
1755507819485,129,37.8,2,0.0,0.0,false
1755507819485,10,24.3,6,15.0,299.0,true
1755507819485,21,29.1,6,37.0,52.0,true
1755507819485,23,30.9,6,73.0,146.0,true
1755507819485,26,32.7,6,19.0,156.0,true
1755507819485,33,21.4,6,52.0,206.0,true
1755507820487,10,28.7,1,66.0,16.0,true
1755507820487,18,36.2,1,23.0,158.0,true
1755507820487,23,40.1,1,52.0,122.0,true
1755507820487,28,25.8,1,32.0,336.0,true
1755507820487,29,30.6,1,13.0,106.0,true
